Pregunta,Respuesta_1,Respuesta_2,Respuesta_3,Respuesta_4,Respuesta_5,Respuesta_6
Una bebida que se toma caliente,Café,Té,Chocolate,Atole,Ponche,Leche
Algo que se rompe muy fácilmente,El vidrio / Vasos,Los huevos,Un espejo,El papel,Los platos,Las galletas
Un sabor de helado muy popular,Chocolate,Vainilla,Fresa,Napolitano,Nuez,Limón
Algo que encuentras en una playa,Arena,Agua de mar,Conchas o caracoles,Palmeras,El sol,Sombrillas o palapas
Un mes que tiene un día festivo muy importante o famoso,Diciembre (Navidad),Septiembre (Independencia),Noviembre (Día de Muertos),Mayo (Día de la Madre),Febrero (Día del Amor),Marzo (Natalicio de Benito Juárez)
Algo que le pones a una ensalada,Lechuga,Jitomate,Aderezo,Limón,Cebolla,Pollo
Una actividad que la gente hace en un parque,Caminar o correr,Jugar fútbol / Deportes,Hacer un picnic,Pasear al perro,Andar en bicicleta,Leer
Un objeto que te protege de la lluvia,Paraguas / Sombrilla,Impermeable,Chamarra con gorro,Botas de hule,Un techo o toldo,Un periódico o cartón
Algo que hace mucho ruido dentro de la casa,La licuadora,La lavadora,El perro ladrando,La televisión,El timbre de la puerta,El despertador
Algo que asocias con ir al cine,Palomitas,Películas,Butacas,Refresco,Oscuridad,Boletos
Una verdura que suele hacerte llorar al cortarla,Cebolla,Chile,Ajo,Poro / Puerro,Rábano,Pimiento
Un animal que puedes encontrar en un zoológico,León,Elefante,Jirafa,Tigre,Mono / Chango,Oso
Algo que te pones en los pies,Zapatos,Calcetines,Tenis,Sandalias / Chanclas,Botas,Pantuflas
Un color de la bandera de México,Verde,Blanco,Rojo,Café (del águila),Amarillo (del escudo),Azul (del cielo en el escudo)
Un insecto que pica o muerde,Mosquito / Zancudo,Abeja,Hormiga,Araña,Avispa,Pulga
Algo que le pones a los tacos,Salsa,Limón,Cebolla,Cilantro,Sal,Guacamole
Un postre típico mexicano,Arroz con leche,Flan,Churros,Gelatina,Capirotada,Jericalla
Algo que necesitas para acampar,Casa de campaña,Bolsa de dormir / Sleeping bag,Linterna,Comida / Agua,Repelente de mosquitos,Leña / Fuego
Un deporte en el que se usa una pelota,Fútbol,Básquetbol,Béisbol,Tenis,Voleibol,Golf
Algo que guardas en la guantera del coche,Documentos / Tarjeta de circulación,Manual del coche,Lentes de sol,Pañuelos / Servilletas,Pluma,Dulces
Un trabajo donde se tiene que madrugar mucho,Panadero,Locutor de radio / Noticias,Chofer / Transportista,Barrendero / Basurero,Comerciante / Mercado,Médico / Enfermera
Una herramienta que hay en cualquier casa,Martillo,Desarmador,Pinzas,Llave inglesa,Taladro,Cinta de medir
Algo que te da miedo en la noche,La oscuridad,Ruidos extraños,Fantasmas / Espantos,Insectos / Arañas,Ladrones,Quedarme solo
Una razón por la que vas al doctor,Dolor de estómago,Dolor de cabeza,Gripe / Tos,Fiebre,Revisión general / Chequeo,Hueso roto / Lesión
Un objeto que tiene botones,Control remoto,Camisa,Teléfono / Celular,Teclado de computadora,Elevador,Calculadora
Algo que se infla,Globo,Llanta,Pelota,Salvavidas,Colchón de aire,Un chicle
Una flor muy conocida,Rosa,Margarita,Girasol,Tulipán,Cempasúchil,Orquídea
Algo que encuentras en una sala,Sofá / Sillón,Televisión,Mesa de centro,Cuadros / Fotos,Alfombra,Cojines
Un animal que vive en el agua,Pez,Ballena,Delfín,Tiburón,Pulpo,Tortuga
Algo con lo que te lavas,Jabón,Agua,Esponja / Estropajo,Champú,Pasta de dientes,Toalla
Un regalo común para el Día de la Madre,Flores,Chocolates,Ropa,Perfume,Joyería,Electrodomésticos
Algo que llevas a la escuela,Mochila,Cuadernos,Lápices,Libros,Agua,Lonchera
Algo que llevas a la oficina,Laptop,Agenda,Pluma,Credencial,Comida,Cargador
Un desayuno mexicano,Huevos,Chilaquiles,Cereal,Tamales,Fruta,Pan dulce
Una bebida refrescante,Agua de limón,Agua de jamaica,Refresco,Limonada,Té frío,Agua natural
Algo que compras en el mercado,Frutas,Verduras,Carne,Especias,Ropa,Artesanías
Un puesto que hay en un tianguis,Ropa,Comida,Juguetes,Frutas,Calzado,Antigüedades
Algo que se vende por kilo,Fruta,Carne,Arroz,Frijol,Tortillas,Azúcar
Una fruta tropical,Mango,Piña,Papaya,Coco,Plátano,Guayaba
Una verdura verde,Lechuga,Brócoli,Calabaza,Chayote,Espinaca,Nopal
Algo que se come con salsa,Tacos,Nachos,Alitas,Papas,Enchiladas,Chicharrón
Una comida que lleva tortilla,Tacos,Enchiladas,Quesadillas,Chilaquiles,Flautas,Tostadas
Algo que se prepara con maíz,Tortillas,Tamales,Atoles,Palomitas,Tostadas,Pozole
Un platillo típico de México,Mole,Pozole,Barbacoa,Cochinita,Tamales,Chiles en nogada
Algo que se come en Navidad,Pavo,Bacalao,Ensalada de manzana,Tamales,Ponche,Buñuelos
Algo que se come en Día de Muertos,Pan de muerto,Mole,Tamales,Calaveritas de azúcar,Chocolate,Fruta
Un dulce mexicano,Palanqueta,Alegrías,Churros,Cajeta,Glorias,Muéganos
Algo que compras en una dulcería,Chocolates,Paletas,Chicles,Gomitas,Caramelos,Chicharrones
Un sabor de agua fresca,Jamaica,Horchata,Limón,Tamarindo,Guayaba,Mango
Algo que agregas a los frijoles,Queso,Cebolla,Epazote,Chile,Crema,Tocino
Algo que pides en una taquería,Pastor,Bistec,Suadero,Longaniza,Gringas,Agua fresca
Un ingrediente del pozole,Maíz,Carne,Lechuga,Rábanos,Cebolla,Orégano
Algo que lleva una pizza,Queso,Jamón,Champiñones,Pepperoni,Piña,Salami
Un alimento que se guarda en el refrigerador,Leche,Huevos,Fruta,Queso,Yogur,Carne
Algo que se sirve en una taza,Café,Té,Sopa,Chocolate,Caldo,Atole
Algo que comes con cuchara,Sopa,Cereal,Arroz con leche,Helado,Frijoles,Pozole
Algo que comes con las manos,Tacos,Hamburguesa,Pizza,Elote,Hot dog,Sándwich
Una botana para ver televisión,Palomitas,Papas,Chicharrones,Cacahuates,Gomitas,Nachos
Un ingrediente de una hamburguesa,Carne,Queso,Lechuga,Jitomate,Cebolla,Tocino
Algo que se hornea,Pastel,Pan,Pollo,Lasagna,Galletas,Pizza
Un postre frío,Helado,Paleta de hielo,Flan,Pay,Gelatina,Pastel
Algo que compras en una panadería,Bolillos,Conchas,Cuernitos,Donas,Empanadas,Pan de dulce
Un pan dulce mexicano,Concha,Oreja,Cuernito,Campechana,Garibaldi,Polvorón
Una salsa mexicana,Roja,Verde,Macha,Guacamole,Pico de gallo,Mole
Un queso conocido,Oaxaca,Panela,Manchego,Cotija,Chihuahua,Cremoso
Algo que se toma en una fiesta,Refresco,Cerveza,Agua fresca,Ponche,Tequila,Vino
Una bebida mexicana,Tequila,Mezcal,Atol,Champurrado,Horchata,Tepache
Algo que se compra congelado,Helado,Pizza,Verduras,Pescado,Pollo,Paletas
Un alimento que viene en lata,Atún,Frijoles,Elote,Sardinas,Chiles,Leche evaporada
Algo que untas en una tortilla,Frijoles,Crema,Guacamole,Queso,Mantequilla,Cajeta
Algo que se usa para cocinar,Aceite,Sal,Estufa,Sartén,Cuchillo,Horno
Un utensilio de cocina,Cuchara,Sartén,Olla,Colador,Rallador,Espátula
Algo que encuentras en una alacena,Arroz,Frijoles,Harina,Azúcar,Enlatados,Pasta
Una especia de cocina,Pimienta,Canela,Orégano,Comino,Clavo,Laurel
Algo que se sirve como entrada,Sopa,Ensalada,Arroz,Queso,Papas,Guacamole
Una comida para llevar,Tacos,Pizza,Hamburguesa,Sushi,Pollo rostizado,Sándwich
Algo que pides a domicilio,Pizza,Tacos,Sushi,Hamburguesas,Pollo,Comida china
Un restaurante de comida rápida,Hamburguesas,Pizza,Pollo frito,Tacos,Sándwiches,Hot dogs
Una razón para no cocinar,Estoy cansado,No hay tiempo,No hay ingredientes,No sé cocinar,Hay visitas,Prefiero pedir
Algo que haces al despertar,Apagar la alarma,Estirarte,Tomar agua,Revisar el celular,Ir al baño,Desayunar
Algo que haces al llegar a casa,Quitarte los zapatos,Comer,Prender la televisión,Saludar,Descansar,Lavarte las manos
Una tarea doméstica,Lavar trastes,Barrer,Trapear,Lavar ropa,Cocinar,Limpiar ventanas
Algo que limpias cada semana,El baño,El piso,La cocina,Los muebles,La ropa,Las ventanas
Algo que usas para limpiar,Escoba,Trapeador,Jabón,Cloro,Esponja,Aspiradora
Algo que hay en una recámara,Cama,Clóset,Lámpara,Almohada,Espejo,Cortinas
Algo que hay en una cocina,Estufa,Refrigerador,Fregadero,Microondas,Alacena,Campana
Algo que hay en un baño,Regadera,Espejo,Lavabo,Excusado,Toalla,Jabón
Algo que hay en un comedor,Mesa,Sillas,Vajilla,Mantel,Servilletas,Lámpara
Algo que hay en un patio,Plantas,Manguera,Macetas,Asador,Ropa tendida,Escoba
Algo que decoras en Navidad,Árbol,Puerta,Ventanas,Mesa,Chimenea,La casa
Algo que se rompe en una mudanza,Vasos,Platos,Espejos,Lámparas,Muebles,Cuadros
Algo que guardas debajo de la cama,Cajas,Zapatos,Maletas,Juguetes,Ropa,Polvo
Algo que guardas en un clóset,Ropa,Zapatos,Maletas,Cobijas,Bolsas,Cajas
Algo que dejas sobre la mesa,Platos,Llaves,Teléfono,Comida,Libros,Control remoto
Un mueble de madera,Mesa,Silla,Cama,Clóset,Escritorio,Repisa
Algo que tiene cajones,Escritorio,Cómoda,Buró,Archivero,Cocina,Caja registradora
Algo que sirve para sentarse,Silla,Sillón,Banco,Estera,Cama,Taburete
Algo que usas para dormir,Almohada,Cobija,Pijama,Cama,Antifaz,Tapones
Algo que te ayuda a dormir,Música,Silencio,Una almohada,Leer,Té caliente,Una rutina
Algo que haces en un día lluvioso,Ver películas,Dormir,Tomar café,Leer,Quedarte en casa,Usar paraguas
Algo que haces en un día caluroso,Nadar,Tomar agua,Usar ventilador,Comer helado,Ir a la playa,Usar ropa ligera
Algo que haces en vacaciones,Viajar,Descansar,Visitar familia,Nadar,Acampar,Tomar fotos
Un lugar para pasar vacaciones,Playa,Pueblo mágico,Hotel,Montaña,Ciudad colonial,Casa familiar
Algo que haces en un hotel,Dormir,Nadar,Desayunar,Descansar,Ver televisión,Usar el gimnasio
Un recuerdo de vacaciones,Fotografías,Imanes,Conchas,Artesanías,Postales,Playeras
Algo que fotografían los turistas,Monumentos,Paisajes,Comida,Personas,Animales,Atardeceres
Un lugar turístico de México,Cancún,Chichén Itzá,Teotihuacán,Puerto Vallarta,Oaxaca,Los Cabos
Una ciudad mexicana famosa,Ciudad de México,Guadalajara,Monterrey,Puebla,Mérida,Tijuana
Un estado de México,Oaxaca,Jalisco,Yucatán,Puebla,Veracruz,Chiapas
Algo que encuentras en un pueblo,Plaza,Iglesia,Quiosco,Mercado,Campanas,Calles empedradas
Un sitio histórico mexicano,Teotihuacán,Chichén Itzá,El Castillo de Chapultepec,Monte Albán,Palenque,Tulum
Algo que ves en una plaza,Fuentes,Bancas,Árboles,Palomas,Quiosco,Vendedores
Un transporte para viajar,Avión,Autobús,Tren,Automóvil,Barco,Taxi
Algo que llevas en una maleta,Ropa,Zapatos,Cepillo,Cargador,Toalla,Documentos
Algo que necesitas en un aeropuerto,Pasaporte,Boleto,Maleta,Identificación,Equipaje de mano,Dinero
Algo que haces en una terminal,Esperar,Comprar comida,Buscar la puerta,Subir al autobús,Ver horarios,Despedirte
Un tipo de transporte público,Metro,Autobús,Microbús,Tren,Taxi,Metrobús
Algo que ves en una carretera,Señales,Autos,Gasolineras,Puentes,Árboles,Peajes
Algo que haces al conducir,Usar cinturón,Mirar espejos,Poner direccionales,Escuchar música,Frenar,Cargar gasolina
Algo que hay en un automóvil,Volante,Asientos,Espejos,Radio,Cinturones,Llantas
Algo que compras en una gasolinera,Gasolina,Refresco,Agua,Dulces,Papitas,Café
Una falla común del auto,Batería descargada,Llanta ponchada,Sin gasolina,Motor caliente,Frenos,Luces
Un vehículo de emergencia,Ambulancia,Patrulla,Camión de bomberos,Helicóptero,Rescate,Grúa
Algo que haces para cruzar la calle,Mirar a ambos lados,Usar el puente,Esperar el semáforo,Caminar por la esquina,Seguir al grupo,Usar el paso peatonal
Algo que encuentras en una calle,Semáforo,Tiendas,Árboles,Postes,Baches,Señales
Un lugar donde compras ropa,Tienda,Centro comercial,Tianguis,Internet,Outlet, Boutique
Una prenda para la parte superior,Playera,Blusa,Camisa,Suéter,Chamarra,Chaleco
Una prenda para la parte inferior,Pantalón,Falda,Short,Jeans,Leggings,Traje de baño
Un tipo de calzado,Tennis, zapatos, botas, sandalias, huaraches, tacones
Algo que usas como accesorio,Reloj,Collar,Aretes,Cinturón,Sombrero,Bufanda
Algo que compras para una boda,Vestido,Traje,Zapatos,Regalo,Corbata,Maquillaje
Algo que usas en una entrevista,Traje,Perfume,Carpeta,Corbata, zapatos formales,Currículum
Algo que se pone un bebé,Pañal,Body,Gorrito,Calcetines,Babero,Suéter
Un color de ropa muy común,Negro,Azul,Blanco,Rojo,Gris,Verde
Algo que haces antes de salir,Peinarte,Vestirte,Buscar llaves,Revisar el clima,Perfumarte,Apagar luces
Algo que compras en una tienda de conveniencia,Refresco,Pan,Dulces,Leche,Cigarros,Recargas
Algo que hay en un centro comercial,Tiendas,Cine,Restaurantes,Escaleras,Estacionamiento,Fuente
Algo que miras en un aparador,Ropa,Zapatos,Electrónicos,Joyas,Juguetes,Maniquíes
Una forma de pagar,Efectivo,Tarjeta,Transferencia,Vales,Monedas,Aplicación
Algo que revisas antes de comprar,Precio,Talla,Calidad,Fecha de caducidad,Marca,Opiniones
Una razón para devolver un producto,Está defectuoso,No queda,No era lo esperado,Llegó tarde,Está incompleto,Cambiaste de opinión
Algo que colecciona la gente,Monedas,Estampas,Muñecos,Postales,Discos,Libros
Un regalo para un niño,Juguete,Videojuego,Bicicleta,Libro,Ropa,Dulces
Algo que se regala en un cumpleaños,Pastel,Flores,Ropa,Dinero,Perfume,Juguetes
Algo que haces en un cumpleaños,Cantar,Comer pastel,Bailar,Romper la piñata,Tomar fotos,Entregar regalos
Algo que hay en una fiesta,Música,Comida,Bebidas,Invitados,Globos,Pastel
Un tipo de fiesta,Cumpleaños,Boda,Graduación,Quince años,Posada,Despedida
Algo que se usa para decorar una fiesta,Globos,Serpentinas,Luces,Centros de mesa,Confeti,Carteles
Algo que haces en una boda,Bailar,Comer,Felicitar,Tomar fotos,Lanzar el ramo,Brindar
Algo que se lanza en una boda,El ramo,Arroz,Confeti,Burbujas,El liguero,Globos
Una celebración mexicana,Independencia,Día de Muertos,Revolución,Posadas,Día de la Madre,Quince años
Algo típico de una posada,Piñata,Ponche,Villancicos,Velas,Aguinaldos,Tamales
Una canción que se canta en cumpleaños,Las mañanitas,Feliz cumpleaños,El rey,Amor eterno,Cielito lindo,Paloma negra
Algo que haces en Año Nuevo,Brindar,Comer uvas,Bailar,Ver fuegos artificiales,Hacer propósitos,Cenar
Un propósito de Año Nuevo,Hacer ejercicio,Ahorrar,Comer sano,Viajar,Leer,Aprender algo
Algo que celebras en septiembre,Independencia,El Grito,Desfile,Comida mexicana,Banderas,Música
Algo que se usa en una ceremonia,Banderas,Velas,Flores,Anillos,Música,Discursos
Un motivo para reunirse en familia,Comida,Cumpleaños,Navidad,Boda,Visita,Aniversario
Algo que haces con tus amigos,Platicar,Salir,Comer,Jugar,Ver películas,Viajar
Un lugar para reunirse con amigos,Casa,Restaurante,Parque,Café,Cine,Bar
Algo que platicas con tus amigos,Trabajo,Deportes,Noticias,Chismes,Planes,Series
Algo que compartes con un amigo,Comida,Secretos,Consejos,Tiempo,Música,Una cuenta
Una cualidad de un buen amigo,Lealtad,Honestidad,Humor,Apoyo,Paciencia,Confianza
Algo que hace reír a la gente,Un chiste,Una película,Una caída,Un meme,Un payaso,Una anécdota
Algo que causa una discusión,Dinero,Tardanzas,Desorden,Celos,Trabajo,Política
Una razón para pedir disculpas,Un error,Un grito,Una mentira,Un retraso,Una promesa rota,Un olvido
Algo que haces cuando estás triste,Llorar,Escuchar música,Dormir,Hablar con alguien,Comer,Salir a caminar
Algo que haces cuando estás feliz,Sonreír,Cantar,Bailar,Abrazar,Reír,Compartirlo
Algo que provoca estrés,Trabajo,Dinero,Tráfico,Exámenes,Problemas familiares,Falta de tiempo
Algo que ayuda a relajarte,Música,Descanso,Ejercicio,Leer,Respirar,Tomar un baño
Una emoción que se nota en la cara,Alegría,Tristeza,Sorpresa,Enojo,Miedo,Aburrimiento
Algo que te da vergüenza,Hablar en público,Caerte,Equivocarte,Olvidar un nombre,Llegar tarde,Cantar
Algo que te pone nervioso,Un examen,Una entrevista,Una cita,Hablar en público,El dentista,Un viaje
Algo que te hace sentir orgulloso,Un logro,La familia,El trabajo,Una graduación,Ayudar a alguien,Aprender algo
Una forma de saludar,Dar la mano,Un abrazo,Decir hola,Un beso,Saludar de lejos,Chocar los puños
Algo que dices al despedirte,Adiós,Nos vemos,Hasta luego,Cuídate,Que descanses,Bye
Una palabra amable,Gracias,Por favor,Perdón,Disculpa,Bienvenido,Felicidades
Algo que agradeces,La familia,La salud,El trabajo,La comida,Los amigos,La vida
Algo que haces por cortesía,Saludar,Ceder el asiento,Escuchar,Dar las gracias,Abrir la puerta,Esperar tu turno
Una regla de convivencia,Respetar,No gritar,Limpiar,Compartir,Ser puntual,Escuchar
Algo que se presta,Dinero,Pluma,Libro,Ropa,Auto,Teléfono
Un lugar donde guardas las llaves,Una mesa,Un gancho,La bolsa,La entrada,Un cajón,El bolsillo
Algo que buscas por la mañana,El celular,Las llaves,Los zapatos,La ropa,El desayuno,Los lentes
Algo que olvidas con frecuencia,Las llaves,El celular,Una cita,La cartera,Los pendientes,El paraguas
Algo que haces mientras esperas,Mirar el celular,Leer,Platicar,Escuchar música,Observar,Comer
Un lugar donde esperas,La parada,El banco,El consultorio,El aeropuerto,La fila,La caja
Algo que haces en una fila,Esperar,Revisar el celular,Platicar,Avanzar,Observar,Resignarte
Una razón para cancelar una cita,Enfermedad,Trabajo,Tráfico,Falta de dinero,Olvido,Emergencia
Algo que haces para organizarte,Usar agenda,Hacer listas,Poner alarmas,Ordenar horarios,Anotar pendientes,Usar calendario
Algo que anotas,Una cita,Un teléfono,La lista de compras,Una dirección,Una tarea,Una idea
Una herramienta de oficina,Computadora,Impresora,Engrapadora,Calculadora,Archivador,Teléfono
Algo que hay en un escritorio,Computadora,Pluma,Papeles,Calendario,Lámpara,Taza
Algo que haces en una junta,Escuchar,Hablar,Tomar notas,Presentar,Decidir,Esperar
Una profesión de oficina,Contador,Abogado,Secretario,Diseñador,Programador,Administrador
Un trabajo al aire libre,Jardinero,Campesino,Albañil,Repartidor,Policía,Arquitecto
Un oficio conocido,Carpintero,Plomero,Electricista,Mecánico,Peluquero,Panadero
Algo que hace un médico,Diagnosticar,Recetar,Revisar,Operar,Escuchar,Vacunar
Algo que hace un maestro,Enseñar,Calificar,Explicar,Leer,Evaluar,Orientar
Algo que hace un policía,Patrullar,Investigar,Detener,Ayudar,Dirigir tráfico,Proteger
Algo que hace un bombero,Apagar incendios,Rescatar,Auxiliar,Usar una manguera,Evacuar,Prevenir
Una herramienta de un albañil,Martillo,Paleta,Flexómetro,Nivel,Carretilla,Pinzas
Una herramienta de un jardinero,Pala,Tijeras de podar,Manguera,Rastrillo,Guantes,Carretilla
Algo que se usa para escribir,Pluma,Lápiz,Marcador,Crayón,Tiza,Teclado
Algo que se usa para borrar,Goma,Corrector,Borrador digital,Trapo,Esponja,Eliminador
Algo que encuentras en una papelería,Cuadernos,Plumas,Cartulinas,Colores,Carpetas,Engrapadoras
Algo que haces en la escuela,Estudiar,Leer,Escribir,Exponer,Examinar,Jugar
Una actividad del recreo,Comer,Correr,Platicar,Jugar,Comprar,Descansar
Algo que llevas en una lonchera,Sándwich,Fruta,Agua,Galletas,Yogur,Torta
Un lugar de la escuela,Salón,Patio,Biblioteca,Dirección,Cancha,Baños
Algo que hay en un salón,Pizarrón,Bancas,Escritorio,Mapas,Libros,Computadora
Un material escolar,Cuaderno,Lápiz,Regla,Colores,Tijeras,Pegamento
Una actividad artística,Dibujar,Pintar,Cantar,Bailar,Actuar,Esculpir
Algo que haces antes de un examen,Estudiar,Repasar,Dormir,Preparar útiles,Desayunar,Rezar
Una razón para faltar a clases,Enfermedad,Cita médica,Problemas familiares,Viaje,Tráfico,Descuido
Algo que se entrega en la escuela,Tarea,Examen,Proyecto,Ensayo,Calificaciones,Boleta
Una carrera universitaria,Medicina,Derecho,Ingeniería,Arquitectura,Contaduría,Psicología
Algo que haces al graduarte,Celebrar,Tomar fotos,Recibir diploma,Abrazar familia,Viajar,Conseguir trabajo
Algo que aprendes en casa,Cocinar,Limpiar,Ahorrar,Ordenar,Reparar,Respetar
Un consejo de los padres,Estudia,Cuídate,No mientas,Ahorra dinero,Respeta, come sano
Algo que un niño aprende primero,Caminar,Hablar,Comer,Leer,Compartir,Saludar
Un juego infantil,Escondidas,Avioncito,Canicas,Quemados,Las traes,Stop
Un juguete clásico,Muñeca,Carrito,Pelota,Yo-yo,Rompecabezas,Canicas
Un programa para niños,Dibujos animados,Series,Noticias infantiles,Concursos,Documentales,Programas educativos
Un personaje de cuentos,Caperucita Roja,Pinocho,Blancanieves,Peter Pan,El Principito,Alicia
Un superhéroe conocido,Superman,Batman,Spider-Man,Hulk,Wonder Woman,Iron Man
Algo que ves en una caricatura,Animales,Superhéroes,Princesas,Chistes,Monstruos, Aventuras
Un género de película,Comedia,Acción,Terror,Romance,Animación,Drama
Algo que haces en el cine,Ver películas,Comer palomitas,Tomar refresco,Comprar boletos,Sentarte,Reír
Un tipo de programa de televisión,Noticias,Deportes,Concursos,Series,Novelas,Documentales
Una serie de televisión famosa,Una novela,Una comedia,Un reality,Una serie policiaca,Una caricatura,Un documental
Algo que ves en las noticias,Política,Deportes,Clima,Accidentes,Economía,Espectáculos
Una sección del periódico,Noticias,Deportes,Clasificados,Cultura,Opinión,Espectáculos
Algo que escuchas en la radio,Música,Noticias,Publicidad,Entrevistas,Deportes,Tráfico
Un instrumento de mariachi,Violín,Trompeta,Guitarra,Vihuela,Guitarrón,Arpa
Un género musical,Rock,Pop,Reguetón,Ranchera,Salsa,Cumbia
Algo que haces con música,Bailar,Cantar,Relajarte,Limpiar,Estudiar,Conducir
Un cantante mexicano famoso,Luis Miguel,Juan Gabriel,Pedro Infante, Vicente Fernández,Thalía,José José
Algo que se usa en un concierto,Boleto,Escenario,Micrófono,Bocinas,Luces,Artistas
Un lugar para escuchar música,Concierto,Casa,Radio,Bar,Auditorio,Auto
Algo que se hace en un museo,Observar,Aprender,Leer,Tomar fotos,Recorrer,Escuchar guía
Un tipo de museo,Historia,Arte,Ciencia,Antropología,Infantil,Arqueología
Algo que encuentras en una biblioteca,Libros,Mesas,Sillas,Silencio,Computadoras,Revistas
Una actividad cultural,Leer,Ir al teatro,Visitar museos,Escuchar música,Ver una exposición,Ir a un concierto
Algo que hay en un teatro,Escenario,Butacas,Cortinas,Actores,Luces,Telón
Una obra de arte,Cuadro,Escultura,Mural,Fotografía,Grabado,Cerámica
Un artista mexicano conocido,Frida Kahlo,Diego Rivera,David Alfaro Siqueiros,Rufino Tamayo,José Clemente Orozco,Remedios Varo
Algo que representa a México,Águila y serpiente,Sombrero,Tequila,Mariachis,Tacos,La bandera
Un símbolo patrio,La bandera,El escudo,El himno,El águila,La campana,El nopal
Algo que ves en un desfile,Bandas,Banderas,Carros alegóricos,Militares,Escuelas,Adornos
Algo que hay en un estadio,Gradas,Cancha,Jugadores,Árbitro,Entradas,Anuncios
Un equipo deportivo mexicano,Chivas,América,Cruz Azul,Pumas,Tigres,Monterrey
Algo que usa un futbolista,Uniforme,Espinilleras,Tenis,Canilleras,Guantes,Balón
Algo que haces antes de hacer ejercicio,Estirar,Calentar,Tomar agua,Cambiarte,Escuchar música,Respirar
Un ejercicio común,Correr,Abdominales,Sentadillas,Pesas, lagartijas,Estiramiento
Un lugar para hacer ejercicio,Gimnasio,Parque,Cancha,Casa,Alberca,Estadio
Algo que beneficia la salud,Ejercicio,Agua,Sueño,Frutas,Descanso,Visitas médicas
Algo que evita enfermedades,Lavarse las manos,Vacunarse,Comer sano,Dormir,Limpiar, hacer ejercicio
Un síntoma de enfermedad,Fiebre,Tos,Dolor,Cansancio,Náusea,Mareo
Algo que hay en un consultorio,Escritorio,Sillas,Revistas,Báscula,Termómetro,Expedientes
Un especialista médico,Dentista,Pediatra,Cardiólogo,Dermatólogo,Ginecólogo,Psicólogo
Algo que haces en el dentista,Revisión,Limpieza,Tapar una caries,Extraer un diente,Tomar radiografías,Esperar
Algo que cuida tus dientes,Cepillo,Pasta,Hilo dental,Enjuague,Visita al dentista,Menos azúcar
Algo que te protege del sol,Sombrero,Bloqueador,Lentes,Sombra,Sombrilla,Ropa ligera
Algo que usas para protegerte del frío,Chamarra,Suéter,Guantes,Gorro,Bufanda,Botas
Un fenómeno del clima,Lluvia,Granizo,Nieve,Calor,Viento,Tormenta
Algo que ves en el cielo,Sol,Luna,Nubes,Estrellas,Aviones,Arcoíris
Un fenómeno natural,Terremoto,Huracán,Volcán,Inundación,Sequía,Arcoíris
Algo que haces durante un temblor,Salir,Agacharte,Protegerte,Evacuar,Guardar la calma,Llamar a familia
Algo que hay en un kit de emergencia,Agua,Linterna,Botiquín,Radio,Comida,Baterías
Algo que necesitas en una tormenta,Paraguas,Impermeable,Linterna,Velas,Agua,Calzado
Un animal doméstico,Perro,Gato,Pájaro,Pez,Tortuga,Hámster
